Rk,Player,PTS/G,G,Season,Age,Team,G_2,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G_2,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
437,Enrique Freeman,2.1,22,2024-25,24,IND,22,1,0,8.2,0.7,1.7,0.7,1.2,0.0,0.5,0.6,0.9,0.5,0.9,1.4,0.4,0.1,0.1,0.3,1.0,2.1,0.432,0.556,0.1,0.684,0.507,0.446,F,freemen01
438,Dwight Powell,2.1,55,2024-25,33,DAL,55,3,0,10.0,0.8,1.1,0.7,1.0,0.0,0.1,0.5,0.8,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,2.1,0.689,0.714,0.4,0.651,0.713,0.705,F-C,poweldw01
439,Johnny Furphy,2.1,50,2024-25,20,IND,50,0,0,7.6,0.7,1.8,0.4,0.8,0.3,1.0,0.4,0.4,0.5,1.0,1.4,0.4,0.4,0.2,0.2,0.8,2.1,0.38,0.476,0.3,0.818,0.506,0.462,G-F,furphjo01
440,Tyler Kolek,2.0,41,2024-25,23,NYK,41,0,0,7.2,0.7,2.0,0.3,0.9,0.3,1.1,0.3,0.4,0.2,0.5,0.7,1.7,0.3,0.1,0.4,0.6,2.0,0.329,0.371,0.298,0.765,0.453,0.415,G,kolekty01
441,Kobe Brown,1.9,40,2024-25,25,LAC,40,0,0,6.8,0.8,1.8,0.7,1.2,0.2,0.7,0.1,0.2,0.5,1.2,1.6,0.6,0.2,0.1,0.3,0.6,1.9,0.458,0.587,0.231,0.714,0.513,0.5,G-F,brownko01
442,Ariel Hukporti,1.9,25,2024-25,22,NYK,25,1,0,8.7,0.8,1.2,0.8,1.2,0.0,0.0,0.2,0.5,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,0.677,0.677,0.0,0.462,0.654,0.677,C,hukpoar01
443,Garrett Temple,1.9,28,2024-25,38,TOR,28,0,0,8.1,0.6,2.1,0.4,1.1,0.2,1.0,0.4,0.4,0.3,0.7,1.0,1.1,0.6,0.1,0.4,0.8,1.9,0.3,0.375,0.214,0.917,0.406,0.35,G,templga01
444,Jericho Sims,1.8,53,2024-25,26,NYK,53,5,0,11.9,0.8,1.3,0.8,1.3,0.0,0.0,0.2,0.2,1.3,2.4,3.7,0.6,0.2,0.4,0.6,1.2,1.8,0.634,0.634,0.0,0.615,0.639,0.634,F,simsje01
445,Adam Flagler,1.8,37,2024-25,25,OKC,37,0,0,5.5,0.7,2.6,0.3,0.6,0.4,1.9,0.0,0.1,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8,0.26,0.458,0.194,0.5,0.335,0.333,G,flaglad01
446,Tristan Thompson,1.7,40,2024-25,33,CLE,40,0,0,8.2,0.8,1.8,0.8,1.7,0.0,0.1,0.2,0.8,0.8,2.6,3.4,0.6,0.1,0.3,0.4,0.9,1.7,0.437,0.456,0.0,0.233,0.41,0.437,F-C,thomptr01
447,Alex Ducas,1.7,21,2024-25,24,OKC,21,0,0,6.0,0.6,1.4,0.1,0.4,0.5,1.0,0.1,0.1,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.7,0.4,0.222,0.476,1.0,0.583,0.567,G-F,ducasal01
448,Yuki Kawamura,1.6,22,2024-25,23,MEM,22,0,0,4.2,0.5,1.4,0.2,0.3,0.3,1.0,0.3,0.4,0.0,0.5,0.5,0.9,0.1,0.0,0.2,0.4,1.6,0.367,0.571,0.304,0.778,0.53,0.483,G,kawamyu01
449,Alex Len,1.6,46,2024-25,31,SAC,46,7,0,8.3,0.7,1.4,0.7,1.2,0.0,0.2,0.2,0.4,0.8,1.2,2.1,0.8,0.2,0.5,0.4,1.2,1.6,0.508,0.556,0.222,0.471,0.525,0.524,C,lenal01
450,Jordan Walsh,1.6,52,2024-25,20,BOS,52,1,0,7.8,0.6,1.6,0.3,0.5,0.3,1.1,0.1,0.2,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.6,0.361,0.536,0.273,0.583,0.464,0.452,G-F,walshjo01
451,Sidy Cissoko,1.5,22,2024-25,20,SAS,22,0,0,5.2,0.6,1.4,0.5,0.8,0.1,0.6,0.1,0.4,0.4,0.6,1.0,0.7,0.1,0.0,0.5,0.5,1.5,0.433,0.588,0.231,0.333,0.471,0.483,G,cissosi01
452,Chris Livingston,1.4,21,2024-25,21,MIL,21,1,0,5.0,0.4,1.3,0.4,0.9,0.0,0.4,0.6,0.8,0.5,1.2,1.7,0.2,0.2,0.0,0.3,0.4,1.4,0.333,0.474,0.0,0.75,0.441,0.333,F,livinch01
453,Trey Alexander,1.3,24,2024-25,21,DEN,24,0,0,4.9,0.5,1.7,0.4,1.0,0.1,0.7,0.1,0.2,0.0,0.5,0.5,0.5,0.1,0.0,0.2,0.4,1.3,0.317,0.417,0.176,0.75,0.374,0.354,G,alexatr01
454,Spencer Jones,1.3,20,2024-25,23,DEN,20,0,0,6.3,0.6,1.7,0.5,0.9,0.1,0.9,0.2,0.2,0.4,0.5,0.9,0.3,0.3,0.3,0.3,0.9,1.3,0.324,0.588,0.059,1.0,0.368,0.338,F,jonessp01
455,Xavier Tillman Sr.,1.0,33,2024-25,26,BOS,33,2,0,7.0,0.4,1.6,0.2,0.6,0.2,1.0,0.1,0.1,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,1.0,0.245,0.381,0.156,0.75,0.31,0.292,F,tillmxa01
456,Stanley Umude,0.7,22,2024-25,25,MIL,22,0,0,3.9,0.2,1.2,0.1,0.5,0.1,0.7,0.1,0.2,0.2,0.6,0.8,0.2,0.1,0.3,0.1,0.4,0.7,0.192,0.182,0.2,0.5,0.27,0.25,G,umudest01
